antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski,antecedentes,consecuentes
"frozenset({'Mort_Media', 'Gini_Alto'})",frozenset({'GDP_Medio'}),0.12111292962356793,0.46481178396072015,0.10201854882705946,0.8423423423423423,1.8122224337013066,1.0,0.045723831948019704,3.394622398877716,0.5099532956910544,0.21082299887260425,0.7054164255999118,0.5309129552087298,"Mort_Media, Gini_Alto",GDP_Medio
frozenset({'Pob_Baja'}),frozenset({'GDP_Alto'}),0.546644844517185,0.3606110201854883,0.3567921440261866,0.6526946107784432,1.809968565139011,1.0,0.15966598896570688,1.8409993039486805,0.9870941388180482,0.6481665014866205,0.45681674194273575,0.8210522978249251,Pob_Baja,GDP_Alto
frozenset({'GDP_Alto'}),frozenset({'Pob_Baja'}),0.3606110201854883,0.546644844517185,0.3567921440261866,0.989409984871407,1.8099685651390107,1.0,0.15966598896570688,42.80967968202013,0.6998935404076775,0.6481665014866205,0.9766407969546197,0.8210522978249251,GDP_Alto,Pob_Baja
"frozenset({'GDP_Alto', 'Mort_Baja', 'Gini_Medio'})",frozenset({'Pob_Baja'}),0.1303873431533006,0.546644844517185,0.1282051282051282,0.9832635983263598,1.798724726279658,1.0,0.056929559280083336,27.087970540098127,0.5106302891161001,0.2335984095427435,0.9630832439617539,0.6088972682250562,"GDP_Alto, Mort_Baja, Gini_Medio",Pob_Baja
"frozenset({'Mort_Baja', 'Gini_Bajo'})",frozenset({'Pob_Baja'}),0.3011456628477905,0.546644844517185,0.2935079105291871,0.9746376811594204,1.7829449796060055,1.0,0.12888818648473208,17.875146130465357,0.6283572603884627,0.5295275590551182,0.9440564014021873,0.7557819144320056,"Mort_Baja, Gini_Bajo",Pob_Baja
"frozenset({'GDP_Alto', 'Gini_Medio'})",frozenset({'Pob_Baja'}),0.1320240043644299,0.546644844517185,0.1282051282051282,0.9710743801652891,1.7764264858712324,1.0,0.056034886866798264,15.673135375262966,0.5035532316086496,0.23290386521308223,0.9361965569710891,0.6028026591445208,"GDP_Alto, Gini_Medio",Pob_Baja
"frozenset({'Pob_Media', 'Gini_Medio'})",frozenset({'GDP_Medio'}),0.127114020731042,0.46481178396072015,0.10420076377523187,0.8197424892703863,1.7636009188176267,1.0,0.04511666903281627,2.9690203413607668,0.49603075916230366,0.21364653243847875,0.6631885655786117,0.5219604465131275,"Pob_Media, Gini_Medio",GDP_Medio
frozenset({'Pob_Media'}),frozenset({'GDP_Medio'}),0.2995090016366612,0.46481178396072015,0.24331696672122205,0.8123861566484517,1.7477744426486055,1.0,0.1041016533581913,2.8526051515103354,0.6107770001257282,0.46701570680628274,0.6494432468263119,0.6679301675261038,Pob_Media,GDP_Medio
"frozenset({'Gini_Medio', 'Pob_Baja'})","frozenset({'GDP_Alto', 'Mort_Baja'})",0.20458265139116202,0.358974358974359,0.1282051282051282,0.6266666666666667,1.7457142857142858,1.0,0.054765202064711055,1.7170329670329672,0.537037037037037,0.29448621553884713,0.4176000000000001,0.49190476190476196,"Gini_Medio, Pob_Baja","GDP_Alto, Mort_Baja"
"frozenset({'Gini_Medio', 'Pob_Baja'})",frozenset({'GDP_Alto'}),0.20458265139116202,0.3606110201854883,0.1282051282051282,0.6266666666666667,1.7377912254160364,1.0,0.05443036957470915,1.712649053074585,0.533753611767796,0.29338327091136074,0.4161092150170649,0.4910943015632879,"Gini_Medio, Pob_Baja",GDP_Alto
